iter	RMSE
0	0.08336566515
1	0.08069153735
2	0.07817728498
3	0.07580221899
4	0.07359608112
5	0.07154541862
6	0.0696657388
7	0.06792703309
8	0.06637243147
9	0.06486122054
10	0.06344098005
11	0.0621546813
12	0.06092917297
13	0.05981160858
14	0.05884786285
15	0.05787987603
16	0.05699443736
17	0.056283965
18	0.055508675
19	0.05484224807
20	0.05419931124
21	0.0536047211
22	0.05314396778
23	0.05269955748
24	0.052318006
25	0.05193805656
26	0.05155746475
27	0.05121631314
28	0.05090082433
29	0.050594382
30	0.05031606097
31	0.05011841857
32	0.04985191954
33	0.04962586334
34	0.04942213506
35	0.04921842536
36	0.04905941399
37	0.04887768544
38	0.04872545373
39	0.04860420339
40	0.04850009323
41	0.04834034778
42	0.04824345745
43	0.0481204506
44	0.04800548911
45	0.04790569088
46	0.04781927291
47	0.04773167729
48	0.04765053759
49	0.04756455493
50	0.04751058217
51	0.0474393499
52	0.04736365025
53	0.04727831159
54	0.04721593227
55	0.04714847838
56	0.04707218078
57	0.04701160041
58	0.04693697093
59	0.04691318458
60	0.04686675813
61	0.04681648652
62	0.04675776292
63	0.04672582634
64	0.04669473655
65	0.04665002346
66	0.04659952935
67	0.04653624757
68	0.046490323
69	0.04643696723
70	0.0463788894
71	0.04632029537
72	0.04627766014
73	0.04624633522
74	0.0462118492
75	0.04616586953
76	0.04613866253
77	0.04610119828
78	0.0460486903
79	0.04601182689
80	0.04596804535
81	0.04592988776
82	0.04589960003
83	0.04585217331
84	0.04582443566
85	0.04576908034
86	0.04573082791
87	0.04573028765
88	0.04570379124
89	0.04566278066
90	0.04564210298
91	0.04560765491
92	0.04557884115
93	0.0455510287
94	0.04552353543
95	0.0454969729
96	0.04547763335
97	0.04545683548
98	0.04543322209
99	0.04539237477
100	0.04536756545
101	0.04533934713
102	0.04532468726
103	0.04529191109
104	0.04526180598
105	0.04524204285
106	0.04521644232
107	0.04518615576
108	0.0451594116
109	0.04513499466
110	0.04510827504
111	0.04507563379
112	0.04504353304
113	0.0450167072
114	0.04499897624
115	0.04496874588
116	0.04494363128
117	0.04491463921
118	0.04489721928
119	0.0448682959
120	0.04483769379
121	0.04481261086
122	0.04479331123
123	0.04477888364
124	0.04474822893
125	0.04472152037
126	0.04470375202
127	0.04469195945
128	0.04466622947
129	0.04465190608
130	0.04462870073
131	0.04461102311
132	0.04458670049
133	0.04456178769
134	0.04453972515
135	0.04451877547
136	0.04450489527
137	0.04449828745
138	0.04447725845
139	0.04445832288
140	0.04444254228
141	0.04441789806
142	0.04439434831
143	0.04437395008
144	0.04433669226
145	0.0443168311
146	0.04429091648
147	0.04426581203
148	0.04423592105
149	0.04421223553
150	0.04417653203
151	0.04416503544
152	0.04413905863
153	0.0441090094
154	0.04408822896
155	0.04406518946
156	0.04405418586
157	0.04403578198
158	0.04402072057
159	0.04399808724
160	0.0439649303
161	0.04393392102
162	0.04390623118
163	0.04388491
164	0.04386382132
165	0.04384526743
166	0.04381783626
167	0.04380294819
168	0.04378081017
169	0.04375094622
170	0.04372708662
171	0.04371329653
172	0.0436766676
173	0.04364572869
174	0.04361648327
175	0.04360839345
176	0.04359103924
177	0.04357186723
178	0.04355239269
179	0.0435384118
180	0.04351732156
